Count,Begich,Palin,Peltola
21653,2,,1
20071,,,1
14638,2,3,1
20206,,1,
6203,1,2,3
3155,,,1
10261,1,,
6494,1,3,2
2452,3,2,1
20662,2,1,
9280,2,1,3
1,4,,
2391,3,4,1
1173,2,1,
5604,1,,2
17560,1,2,
68,4,2,1
919,,2,1
510,1,2,4
1063,2,4,1
1981,2,,1
3,2,3,
461,3,4,1
56,4,4,1
295,2,3,1
1917,2,4,1
2147,3,,1
240,3,,2
386,3,4,2
273,1,3,
77,3,1,2
133,1,3,2
256,2,4,3
511,1,,2
78,3,2,1
2414,3,1,2
1144,1,2,
492,4,3,1
140,4,1,3
258,,3,1
78,,2,1
14,1,,
277,1,2,4
278,1,4,3
178,2,3,4
415,1,,
172,3,1,4
297,3,1,
54,,4,1
65,2,3,
117,3,2,
203,1,3,4
555,2,1,4
20,3,4,2
744,1,4,2
470,,1,
829,2,1,4
148,2,,
105,4,1,
502,,1,2
153,3,1,
45,4,2,1
279,2,1,3
114,3,,1
178,1,2,3
156,,2,
49,1,,3
693,1,4,2
106,4,1,2
10,,,4
98,4,3,2
5,1,,2
63,4,,1
11,,3,
288,3,1,4
93,1,3,
39,,1,3
329,1,4,3
218,2,,
110,1,4,
79,2,1,
20,3,,2
100,,2,
47,1,4,4
119,4,1,3
72,1,3,4
5,,2,4
18,3,2,
34,,2,3
8,,1,2
222,,,2
130,3,2,4
18,2,,3
21,,4,
11,3,2,4
214,2,3,
1,,,3
4,1,2,
38,1,2,
155,1,,3
5,3,1,3
19,1,,2
1,3,1,3
43,1,1,
8,3,,
47,,3,1
3,2,,1
53,,1,
47,4,2,3
7,1,3,2
53,4,3,1
145,2,,3
26,,,2
2,4,1,4
20,1,,4
43,2,,1
68,4,1,2
7,2,1,3
11,,1,
15,2,2,1
24,,1,4
8,2,3,4
17,2,1,
30,2,4,3
30,,1,2
4,4,3,2
32,,,1
4,1,,
25,,1,3
7,1,1,2
1,3,,
18,1,1,1
12,,,1
22,3,,1
2,2,1,4
42,4,1,4
44,2,1,2
2,4,4,4
3,1,3,
6,2,1,3
2,,3,4
1,1,4,3
2,,,2
19,1,4,1
21,,3,2
3,4,1,
6,,4,1
5,1,4,2
3,1,1,1
1,,4,
6,3,1,
4,1,4,2
3,,1,4
11,,3,2
22,,2,3
4,2,,
3,2,1,2
12,1,4,
3,4,1,2
2,1,,
1,2,1,4
3,3,4,
7,2,4,1
3,,2,1
14,2,4,
9,4,,1
10,1,2,2
23,1,,1
8,,,3
7,2,1,1
1,4,1,1
5,1,3,3
7,4,2,3
12,4,,
6,2,,1
3,1,1,3
1,,2,4
10,4,4,4
2,1,,3
2,,2,
3,2,4,1
6,4,1,
3,,4,4
4,1,2,
2,3,2,
4,3,2,1
5,2,4,1
7,,,1
8,,1,
1,2,,
2,,4,2
2,4,4,2
2,4,4,1
1,1,2,4
2,,3,1
2,1,3,4
3,3,2,1
6,2,4,
3,1,,2
1,1,2,2
1,3,4,
2,4,2,4
1,4,,2
8,3,3,1
1,3,,4
10,2,3,1
6,,1,1
7,1,3,1
1,3,3,3
3,2,4,
2,4,1,4
1,3,,2
2,,3,
4,2,1,3
1,3,,
1,2,1,2
2,1,4,3
1,,3,
1,,1,3
1,4,,3
1,,,2
1,1,3,2
2,4,4,
8,1,1,4
1,1,1,
1,2,1,4
2,2,,4
3,,4,1
1,4,2,
2,,3,2
1,1,2,2
1,2,,3
6,1,2,1
1,3,,1
3,3,1,1
1,4,3,
1,4,2,4
8,2,1,
1,2,2,3
1,4,4,2
2,1,2,3
1,4,3,3
3,2,4,4
1,,4,2
1,,4,1
2,4,2,1
1,4,1,3
3,1,2,3
1,2,3,1
1,3,2,3
2,1,4,4
1,3,4,1
2,4,4,1
5,3,4,1
1,1,,4
1,1,2,1
1,3,3,2
1,2,2,4
1,1,,4
3,4,3,1
1,3,1,3
2,2,4,4
1,,2,4
2,3,1,4
1,4,1,
1,1,1,4
2,3,1,2
1,,4,1
1,4,4,1
3,2,2,2
1,3,4,2
1,,4,3
2,3,3,2
1,2,3,3
3,,1,4
1,1,4,
1,1,2,3
2,4,4,4
1,4,,2
1,2,2,1
1,,4,2
1,1,4,3
1,3,3,3
1,1,1,2
1,4,3,4
1,4,,1
1,4,4,3
1,3,1,
1,1,1,1
1,1,1,
1,4,2,2
1,4,3,1
1,3,4,
1,1,,1
1,1,,1
1,1,1,
2,,1,2
1,1,1,
1,1,3,
1,3,2,2
1,1,,3
1,4,2,
1,2,4,3
1,4,4,3
1,3,1,4
1,3,2,2
